响(应援团),应援团响
阿露(正月),正月阿露
野宫,富婆
莲见(体操服),运动服莲见
纱绫,沙耶
歌原(应援团),应援团歌原
朱音,茜
朱音(兔女郎),茜(兔女郎)
明里,亚伽里
朱莉,茱莉
白子(单车),骑行白子
白子(骑行),骑行白子
巴,智惠
花江,花绘
花江(圣诞),花绘(圣诞)
春香,遥香
真希,真纪
菫,堇
芹奈,芹娜
ハルナ(正月),正月羽留奈
フウカ(正月),春枫香
ジュンコ(正月),春纯子
晴奈(正月),正月羽留奈
枫香(正月),春枫香
淳子(正月),春纯子
ミネ,美祢
ノノミ(水着),泳装野乃美
ミカ,未花
カンナ,叶渚
メグ,惠
トキ,时
ナギサ,渚
乐队爱理,乐队爱莉
体操服优香,运动服佑香
体操服晴奈,运动服晴奈
体操服玛丽,运动服玛丽
体操服莲见,运动服莲见
偶像美弥,偶像美祢
兔女郎妮露,兔女郎尼禄
兔女郎朱音,兔女郎茜
制服妮露,制服尼禄
制服朱音,制服茜
圣诞花江,圣诞花绘
妮露,尼禄
应援团琴里,应援团柯托莉
打工朱莉,打工茱莉
柯伊,凯伊
正月佳代子,春佳代子
正月明里,春明里
正月晴奈,春晴奈
正月枫香,春枫香
正月淳子,春纯子
正月遥香,春遥香
正月阿露,正月亚瑠
爱理,爱莉
玛丽,玛莉
琴里,柯托莉
睡衣优香,睡衣佑香
绘梨香,绘理香
美弥,美祢
野营小玉,露营小玉
野营晴,露营晴
莱伊,丽
鹿江,庚
